nct_id,title,official_title,status,start_date,completion_date,primary_completion_date,phase,enrollment,study_type,allocation,intervention_model,primary_purpose,masking,conditions,intervention_types,intervention_names,sponsor,sponsor_type,has_results,num_outcome_measures,num_primary_outcomes,num_secondary_outcomes,primary_outcome_titles,primary_outcome_descriptions,primary_outcome_timeframes,primary_analyses_data,num_p_values_in_primary,all_p_values_primary,all_param_values_primary,all_ci_data_primary,baseline_participants
NCT01340768,Study to Compare Sitagliptin Versus Sulfonylurea Treatment During Ramadan Fasting in Patients With Type 2 Diabetes (MK-0431-262),"An Open-Label, Randomized Naturalistic Study to Evaluate the Incidence of Hypoglycemia Comparing Sitagliptin With Sulfonylurea Treatment in Patients With Type 2 Diabetes During Ramadan Fasting",COMPLETED,2010-06-22,2011-09-21,2011-09-21,PHASE3,870.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,NONE,Type 2 Diabetes Mellitus,"DRUG, DRUG, DRUG","Sitagliptin, Sulfonylurea, Metformin",Merck Sharp & Dohme LLC,INDUSTRY,True,2,1,1,Percentage of Participants With at Least One Symptomatic Hypoglycemic Event,"Symptomatic hypoglycemic events were based on the participants own self-reported symptoms (for example, but not limited to the following: faintness, headache, confusion, anxiety, sweating, tremor, palpitations, nausea, pallor, dizziness, hunger, sudden behavioral change).",Up to 30 days (Day 1 through last day of Ramadan),"[{""groupIds"": [""OG000"", ""OG001""], ""nonInferiorityType"": ""SUPERIORITY_OR_OTHER"", ""pValue"": ""0.028"", ""pValueComment"": ""P-value for association between treatment groups and proportions controlling for prior therapy (monotherapy or combination therapy)."", ""statisticalMethod"": ""Cochran-Mantel-Haenszel"", ""paramType"": ""Risk Ratio (RR)"", ""paramValue"": ""0.52"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""0.29"", ""ciUpperLimit"": ""0.94""}]",1,0.028,0.52,"[0.29, 0.94]",1696.0
NCT00325910,Patients With Heart Failure ANd Type 2 Diabetes Treated With Placebo Or Metformin (PHANTOM) Pilot Study,Patients With Heart Failure ANd Type 2 Diabetes Treated With Placebo Or Metformin (PHANTOM) Pilot Study,TERMINATED,2006-05,2007-05,2007-05,PHASE3,100.0,INTERVENTIONAL,RANDOMIZED,SINGLE_GROUP,TREATMENT,DOUBLE,"Diabetes Mellitus, Type 2, Heart Failure, Congestive",DRUG,Metformin,University of Alberta,OTHER,False,0,0,0,,,,,0,,,,
NCT00162240,PPAR - Combination With Metformin,"A Phase 3, Randomized, Double-blind, Placebo Controlled, Multicenter Trial to Evaluate the Safety and Efficacy of BMS-298585 in Combination With Metformin Therapy in Subjects With Type 2 Diabetes Who Have Inadequate Glycemic Control on Metformin Therapy Alone",COMPLETED,2003-06,2004-05,,PHASE3,534.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,DOUBLE,Diabetes Mellitus,DRUG,Muraglitazar,Bristol-Myers Squibb,INDUSTRY,False,0,0,0,,,,,0,,,,
NCT04308590,A Study of the Efficacy and Safety of Relacorilant in Patients With Cortisol-Secreting Adrenal Adenomas,"Glucocorticoid Receptor Antagonism in the Treatment of Hypercortisolism in Patients With Cortisol-Secreting Adrenal Adenomas or Hyperplasia (GRADIENT): A Phase 3, Randomized, Double-Blind, Placebo-Controlled Study of the Efficacy and Safety of Relacorilant",COMPLETED,2020-07-27,2024-09-19,2024-09-19,PHASE3,137.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,TRIPLE,Hypercortisolism,"DRUG, OTHER","Relacorilant, Placebo",Corcept Therapeutics,INDUSTRY,True,17,2,15,Change in Average 24-hour SBP | Number of Patients With 1 or More Treatment-emergent Adverse Events (TEAEs) as Graded by CTCAE v5.0.,Blood pressure was measured by 24-hour ABPM. The 24-hour average SBP is reported. | ,Baseline and Week 22 | Baseline and up to Week 26,"[{""groupIds"": [""OG000"", ""OG001""], ""nonInferiorityType"": ""EQUIVALENCE"", ""nonInferiorityComment"": ""The primary analysis will determine whether there is a difference between treatment groups in terms of change from Baseline to Week 22 in 24-hour average SBP. This was performed using a linear mixed-model-for-repeated-measures (MMRM) analysis using a placebo wash-out multiple imputation for treatment discontinuation and for patients that use rescue medication."", ""pValue"": ""0.4160"", ""statisticalMethod"": ""Mixed Models Analysis"", ""paramType"": ""Least squares mean difference"", ""paramValue"": ""-2.67"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-9.096"", ""ciUpperLimit"": ""3.766""}]",1,0.4160,-2.67,"[-9.096, 3.766]",274.0
NCT01646320,Safety and Efficacy of Dapagliflozin in Triple Therapy to Treat Subjects With Type 2 Diabetes,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled, Parallel Group, Phase 3 Trial to Evaluate the Safety and Efficacy of Therapy With Dapagliflozin Added to Saxagliptin in Combination With Metformin Compared to Therapy With Placebo Added to Saxagliptin in Combination With Metformin in Subjects With Type 2 Diabetes Who Have Inadequate Glycemic Control on Metformin and Saxagliptin",COMPLETED,2012-09,2015-02,2014-08,PHASE3,320.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,TRIPLE,Type 2 Diabetes,"DRUG, DRUG, DRUG, DRUG","Dapagliflozin, Placebo matching with Dapagliflozin, Saxagliptin, Metformin immediate release (IR)",AstraZeneca,INDUSTRY,True,5,1,4,Adjusted Mean Change From Baseline in Hemoglobin A1C (HbA1c) at Week 24,"HbA1c was measured as percent of hemoglobin by a central laboratory. Data after rescue medication was excluded from this analysis. Baseline was defined as the last assessment prior to the start date and time of the first dose of the double-blind study medication. In cases where time of the first dose or time of the assessment was not available, baseline was defined as the last assessment on or prior to the date of the first dose of the double-blind study medication. HbA1c measurements were obtained during the qualification and lead-in periods and on Day 1 and Weeks 6, 12, 18, and 24 in the double-blind period.",From Baseline to Week 24,"[{""groupIds"": [""OG000"", ""OG001""], ""testedNonInferiority"": false, ""nonInferiorityType"": ""SUPERIORITY_OR_OTHER"", ""pValue"": ""<0.0001"", ""pValueComment"": ""Tested at alpha=0.05"", ""statisticalMethod"": ""Longitudinal Repeated Measures Analysis"", ""paramType"": ""Mean Difference (Final Values)"", ""paramValue"": ""-0.72"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-0.91"", ""ciUpperLimit"": ""-0.53"", ""dispersionType"": ""STANDARD_ERROR_OF_MEAN"", ""dispersionValue"": ""0.0964""}]",1,<0.0001,-0.72,"[-0.91, -0.53]",640.0
NCT05248776,"Efficacy, Safety and Pharmacokinetics Study of CPL207280 After 2-weeks Administration in Subjects With Type 2 Diabetes","A Phase 2, Double-Blind, Randomized, Placebo-Controlled, Parallel-Group Study to Evaluate Efficacy, Safety and Pharmacokinetics After 2-weeks Administration of CPL207280 (GPR40 Agonist) in Subjects With Type 2 Diabetes (T2D)",UNKNOWN,2022-01-21,2023-06-30,2023-06-30,PHASE2,80.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,DOUBLE,Type 2 Diabetes,"DRUG, DRUG","CPL207280, Placebo",Celon Pharma SA,INDUSTRY,False,0,0,0,,,,,0,,,,
NCT06825182,Current Status of Islet Alpha Cell Function in Patients with Type 2 Diabetes,"Survey on the Current Status of Islet Alpha Cell Function in Patients with Type 2 Diabetes and Interventional Study of GLP-1RA: a Multicenter, Prospective Study",RECRUITING,2024-11-07,2025-12-31,2025-08-01,PHASE3,1000.0,INTERVENTIONAL,NA,SINGLE_GROUP,TREATMENT,NONE,Type 2 Diabetes Mellitus,"DRUG, DRUG","Outpatient newly diagnosed type 2 diabetes subjects, Inpatient newly diagnosed type 2 diabetes subjects","Nanjing First Hospital, Nanjing Medical University",OTHER,False,0,0,0,,,,,0,,,,
NCT06184568,A Study Comparing IBI362 vs Semaglutide in Chinese Adults With Early Type 2 Diabetes and Obesity,"A Multicenter, Randomized, Open-label Phase 3 Study Comparing the Efficacy and Safety of IBI362 Versus Semaglutide in Chinese Participants With Early Type 2 Diabetes and Obesity (DREAMS-3)",ACTIVE_NOT_RECRUITING,2024-02-29,2026-06-30,2026-02-09,PHASE3,349.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,NONE,"Type 2 Diabetes, Obesity","DRUG, DRUG","IBI362, Semaglutide",Innovent Biologics (Suzhou) Co. Ltd.,INDUSTRY,False,0,0,0,,,,,0,,,,
NCT02222350,Phase 2 Study of DS-8500a in Patients With Type 2 Diabetes,"A Phase 2, Placebo-controlled, Double-blind Study of DS-8500a in Patients With Type 2 Diabetes",COMPLETED,2014-07,2015-01,2014-11,PHASE2,100.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,QUADRUPLE,Type 2 Diabetes Mellitus,"DRUG, DRUG, DRUG","10mg DS-8500a tablet, 75mg DS-8500a tablet, placebo","Daiichi Sankyo Co., Ltd.",INDUSTRY,False,0,0,0,,,,,0,,,,
NCT02773368,A Clinical Trial Comparing Glycaemic Control and Safety of Insulin Degludec/Liraglutide (IDegLira) Versus Insulin Glargine (IGlar) as add-on Therapy to SGLT2i in Subjects With Type 2 Diabetes Mellitus,A Clinical Trial Comparing Glycaemic Control and Safety of Insulin Degludec/Liraglutide (IDegLira) Versus Insulin Glargine (IGlar) as add-on Therapy to SGLT2i in Subjects With Type 2 Diabetes Mellitus. DUALTM IX - Add-on to SGLT2i,COMPLETED,2016-05-23,2017-10-23,2017-09-26,PHASE3,420.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,NONE,"Diabetes, Diabetes Mellitus, Type 2","DRUG, DRUG","insulin degludec/liraglutide, insulin glargine",Novo Nordisk A/S,INDUSTRY,True,33,1,32,Change in HbA1c (Glycosylated Haemoglobin),The mean change from baseline (week 0) in HbA1c values evaluated after 26 weeks of randomised treatment. The results presented included retrieved data at week 26 for subjects who prematurely discontinued the trial product.,"Week 0, Week 26","[{""groupIds"": [""OG000"", ""OG001""], ""groupDescription"": ""Analysis was based on ANCOVA model with treatment, pre-trial OAD, region as factors and baseline HbA1c as covariate. Data obtained after premature treatment discontinuation are included in the analysis. Missing data was imputed using unconditional reference based multiple imputation including data obtained after premature treatment discontinuation. The non-inferiority margin of 0.3 % was added to the end-of-treatment value for prematurely discontinued and withdrawn from trial IDegLira subjects."", ""nonInferiorityType"": ""NON_INFERIORITY"", ""nonInferiorityComment"": ""Non-inferiority of IDegLira was considered confirmed if the upper limit of the two-sided 95% confidence interval (CI) for mean treatment difference (IDegLira minus IGlar) was strictly below 0.3%."", ""statisticalMethod"": ""ANCOVA"", ""paramType"": ""Treatment Contrast"", ""paramValue"": ""-0.34"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-0.48"", ""ciUpperLimit"": ""-0.20"", ""estimateComment"": ""IDegLira minus IGlar""}, {""groupIds"": [""OG000"", ""OG001""], ""groupDescription"": ""This endpoint was analysed using an ANCOVA model with treatment, pre-trial OAD and region as factors and corresponding baseline value as covariate. Data obtained after premature treatment discontinuation were included in the analysis. Missing data were imputed using unconditional reference based multiple imputation including data obtained after premature treatment discontinuation."", ""nonInferiorityType"": ""SUPERIORITY"", ""nonInferiorityComment"": ""Superiority of IDegLira was considered confirmed if the test procedure was not stopped (i.e. non-inferiority of IDegLira was confirmed for change from baseline in HbA1c; and superiority of IDegLira was confirmed for weight change and the number of treatment-emergent severe or BG confirmed symptomatic hypoglycaemic episodes) and if the upper limit of the two-sided 95% CI for the mean treatment difference (IDegLira minus IGlar) in change from baseline in HbA1c was strictly below 0%."", ""statisticalMethod"": ""ANCOVA"", ""paramType"": ""Treatment Contrast"", ""paramValue"": ""-0.36"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-0.50"", ""ciUpperLimit"": ""-0.21"", ""estimateComment"": ""IDegLira minus IGlar""}]",0,,"-0.34, -0.36","[-0.48, -0.20] | [-0.50, -0.21]",840.0
NCT00601250,Efficacy and Safety of B I1356 (Linagliptin) vs. Placebo Added to Metformin Background Therapy in Patients With Type 2 Diabetes,"A Randomised, Double-blind, Placebo-controlled Parallel Group Efficacy and Safety Study of BI 1356 (One Dose, e.g. 5 mg), Administered Orally Once Daily Over 24 Weeks, With an Open Label Extension to 80 Weeks (Placebo Patients Switched to BI 1356), in Type 2 Diabetic Patients With Insufficient Glycaemic Control Despite Metformin Therapy",COMPLETED,2008-01,,2009-05,PHASE3,701.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,DOUBLE,"Diabetes Mellitus, Type 2","DRUG, DRUG","linagliptin, linagliptin",Boehringer Ingelheim,INDUSTRY,True,15,1,14,HbA1c Change From Baseline at Week 24,"HbA1c is measured as a percentage. Thus, this change from baseline reflects the Week 24 HbA1c percent minus the baseline HbA1c percent. Means are treatment adjusted for baseline HbA1c and previous anti-diabetic medication.",Baseline and week 24,"[{""groupIds"": [""OG000"", ""OG001""], ""groupDescription"": ""Linagliptin vs. Placebo"", ""testedNonInferiority"": false, ""nonInferiorityType"": ""SUPERIORITY_OR_OTHER"", ""pValue"": ""<0.0001"", ""statisticalMethod"": ""ANCOVA"", ""paramType"": ""Least Squares Mean Difference"", ""paramValue"": ""-0.64"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-0.78"", ""ciUpperLimit"": ""-0.5"", ""dispersionType"": ""STANDARD_ERROR_OF_MEAN"", ""dispersionValue"": ""0.07""}]",1,<0.0001,-0.64,"[-0.78, -0.5]",1400.0
NCT02807974,Study of CS-3150 in Hypertensive Patients With Type 2 Diabetes and Albuminuria,A Study of CS-3150 to Evaluate Efficacy and Safety in Hypertensive Patients With Type 2 Diabetes and Albuminuria.,COMPLETED,2016-06,2017-03,2017-03,PHASE3,51.0,INTERVENTIONAL,NA,SINGLE_GROUP,TREATMENT,NONE,Hypertension,DRUG,CS-3150,"Daiichi Sankyo Co., Ltd.",INDUSTRY,False,0,0,0,,,,,0,,,,
NCT02244879,Effects of Resveratrol on Inflammation in Type 2 Diabetic Patients,Effects of Resveratrol on Inflammation in Type 2 Diabetic Patients. A Double-blind Randomized Controlled Trial,COMPLETED,2013-10,2016-02,2016-02,PHASE3,192.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,TRIPLE,"Type 2 Diabetes Mellitus, Inflammation, Insulin Resistance, Other Disorders of Bone Density and Structure",DIETARY_SUPPLEMENT,resveratrol,"University of Turin, Italy",OTHER,False,0,0,0,,,,,0,,,,
NCT00372060,MK0431 (Sitagliptin) Pioglitazone Add-on Study for Patients With Type 2 Diabetes Mellitus (0431-055)(COMPLETED),MK0431 (Sitagliptin) Phase III Clinical Study -Pioglitazone add-on Study for Patients With Type 2 Diabetes Mellitus,COMPLETED,2006-08-21,2008-02-05,2008-02-05,PHASE3,134.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,DOUBLE,Type 2 Diabetes Mellitus,"DRUG, DRUG, DRUG, DRUG","sitagliptin phosphate, Comparator: sitagliptin phosphate (MK0431), Comparator: pioglitazone, Comparator: placebo (unspecified)",Merck Sharp & Dohme LLC,INDUSTRY,True,4,1,1,Change From Baseline in Hemoglobin A1c (HbA1c ) at Week 12,"Change from the baseline measurement, where the baseline measurement was obtained at randomization (0 week) before receiving study medication.",12 Weeks,"[{""groupIds"": [""OG000"", ""OG001""], ""nonInferiorityType"": ""SUPERIORITY_OR_OTHER"", ""pValue"": ""<0.001"", ""statisticalMethod"": ""ANCOVA"", ""statisticalComment"": ""Model terms: treatment, prior oral anti-hyperglycemic medication (except for pioglitazone), and baseline HbA1c."", ""paramType"": ""Least-squares Mean Difference"", ""paramValue"": ""-0.8"", ""ciPctValue"": ""95"", ""ciLowerLimit"": ""-1.0"", ""ciUpperLimit"": ""-0.6"", ""dispersionType"": ""STANDARD_ERROR_OF_MEAN"", ""dispersionValue"": ""0.10""}]",1,<0.001,-0.8,"[-1.0, -0.6]",268.0
NCT03311724,A Study of Tirzepatide (LY3298176) in Participants With Type 2 Diabetes,"A Phase 2, Double-Blind, Placebo-Controlled, 3-Month Trial of LY3298176 Versus Placebo in Patients With Type 2 Diabetes Mellitus",COMPLETED,2017-10-19,2018-04-24,2018-04-24,PHASE2,111.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,DOUBLE,Type 2 Diabetes,"DRUG, DRUG","Tirzepatide, Placebo",Eli Lilly and Company,INDUSTRY,True,8,1,7,Change From Baseline in Haemoglobin A1c (HbA1c),Least squares (LS) mean was calculated using mixed model repeated measures model (MMRM) with baseline + baseline BMI group + baseline metformin flag + treatment + time + treatment\*time as fixed factors.,"Baseline, 3 Months","[{""groupIds"": [""OG000"", ""OG001""], ""nonInferiorityType"": ""SUPERIORITY"", ""pValue"": ""<0.001"", ""statisticalMethod"": ""Mixed Models Analysis"", ""paramType"": ""Mean Difference (Final Values)"", ""paramValue"": ""-1.9"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-2.5"", ""ciUpperLimit"": ""-1.4""}, {""groupIds"": [""OG000"", ""OG002""], ""nonInferiorityType"": ""SUPERIORITY"", ""pValue"": ""<0.001"", ""statisticalMethod"": ""Mixed Models Analysis"", ""paramType"": ""Mean Difference (Final Values)"", ""paramValue"": ""-2.2"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-2.8"", ""ciUpperLimit"": ""-1.7""}, {""groupIds"": [""OG000"", ""OG003""], ""nonInferiorityType"": ""SUPERIORITY"", ""pValue"": ""<0.001"", ""statisticalMethod"": ""Mixed Models Analysis"", ""paramType"": ""Mean Difference (Final Values)"", ""paramValue"": ""-2.0"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-2.5"", ""ciUpperLimit"": ""-1.4""}]",3,"<0.001, <0.001, <0.001","-1.9, -2.2, -2.0","[-2.5, -1.4] | [-2.8, -1.7] | [-2.5, -1.4]",222.0
NCT00622089,Open Label Safety & Pharmacodynamic Study 24Wk w/DIO-902 Combo w/Metformin & Atorvastatin in T2DM Patients,An Open Label Follow-On Study of Safety and Pharmacodynamic Effects of 24 Weeks of Treatment With DIO-902 in Combination With Metformin and Atorvastatin in Subjects With Type 2 Diabetes Mellitus (Protocol No. DIO-503),TERMINATED,2008-01,2008-12,2008-12,PHASE2,150.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,NONE,Type 2 Diabetes,"DRUG, DRUG, DRUG","DIO-902, DIO-902, DIO-902",DiObex,INDUSTRY,False,0,0,0,,,,,0,,,,
NCT03359590,Sitagliptin and the Risk for Hypoglycaemia in Type 2 Diabetes Patients,DPP-4 Inhibition With Sitagliptin and the Risk for Hypoglycaemia in the Fasting State in Subjects With Type 2 Diabetes Treated to Fasting Plasma Glucose Targets With Insulin Glargine and Metformin,COMPLETED,2018-03-21,2019-07-17,2019-07-17,PHASE2,20.0,INTERVENTIONAL,RANDOMIZED,CROSSOVER,TREATMENT,TRIPLE,Pharmacological Action,"DRUG, DRUG","Sitagliptin 100 mg, Placebo",Profil Institut für Stoffwechselforschung GmbH,INDUSTRY,True,1,1,0,The Frequency of Hypoglycaemic Episodes With Sitagliptin vs Placebo Treatment.,The purpose of the trial was to test the influence of DPP-4 inhibition on the risk to develop hypoglycaemia. Chemical hypoglycaemic episodes (characterised by a plasma glucose nadir ≤70 mg/dL) occurring during the in-house periods of the subjects were compared.,during the two in-house periods (54 hs each) after treatment with sitagliptin or placebo for up to 24 weeks,,0,,,,20.0
NCT01309620,Zinc Supplementation in Type 2 Diabetics,Does Zinc Supplementation Reduce the Extent of Oxidative Stress Damage in Diabetics? A Randomised Placebo-controlled Study.,COMPLETED,2009-01,2010-03,2010-01,PHASE2,40.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,DOUBLE,"Diabetes Mellitus, Non-Insulin-Dependent","DIETARY_SUPPLEMENT, DIETARY_SUPPLEMENT","Zinc gluconate, Placebo","National University Hospital, Singapore",OTHER,False,0,0,0,,,,,0,,,,
